AXI;TEXTAINER EQUIPMENT MANAGEMENT LTD;HAMILTON, HM HX;Bermuda
AXL;AXCEL SEA SHIPPING CO. LLC;Dubai;United Arab Emirates
AYM;"LLC ""AYAMTRANSSERVICE""";Yakutsk, Republic of Sakha (Yakutia);Russian Federation
AYT;OZTIRYAKILER SAVUNMA EKIPMANLARI SAN.VE.TIC.A.S.;Zeytinburnu-Istanbul;Turkey
AZN;AMAZON.COM SERVICES, INC.;Atlanta;United States
AZT;PROTAXON TRADING LIMITED;NICOSIA;Cyprus
AZX;AMAZON WEB SERVICES;Seattle;United States
BAC;P.P.U.H BASSAU;Prószków;Poland
BAE;BAE SYSTEMS;FRIDLEY, MN-55421;United States
BAF;BULKHAUL LTD;MIDDLESBROUGH CLEVELAND;United Kingdom
BAK;BADRAKH ENERGY LLC;Ulaanbaatar;Mongolia
BAL;SPEDITION BAUMLE GMBH;Murg;Germany
BAM;SPEDITION BAUMLE GMBH;Murg;Germany
BAR;BARBADOS BOTTLING CO.LTD;BRIDGETOWN;Barbados
BAS;BRITISH ANTARCTIC SURVEY;CAMBRIDGE;United Kingdom
BAT;CONTAINER BOXES 4 SALE;ROTTEDAM-MAASVLAKTE;Netherlands
BAX;SUNMARINE SHIPPING SERVICES LLC;DUBAI;United Arab Emirates
BAY;CHEMION LOGISTIK GMBH;LEVERKUSEN;Germany
BBC;CONTENEDORES Y EMBALAJES NORMALIZADOS S.A;Llanera-Asturias;Spain
BBR;ITAKA TRANS LLC;Saint-Petersburg;Russian Federation
BBS;LLC COMPANY SPECTRANSCONTAINER;Moscow;Russian Federation
BBT;BRESS MUNDIAL CONTAINER  SERVICE GMBH;LANGEN;Germany
BBU;BSL CONTAINERS LIMITED;KOWLOON;Hong Kong, China
BBX;BESTBOX- CONTAINERHANDEL e.K;HAMBURG;Germany
BBZ;BUZZBALLZ, LLC;Carrollton;United States
BCC;BERTSCHI AG;DUERRENAESCH;Switzerland
BCD;BELARUSIAN RAILWAY;MINSK;Belarus
BCE;BEAUDIN CONSULTING EQUIPMENT;Santa Rosa, CA-95404;United States
BCG;BLOEDORN CONTAINER GMBH;DORTMUND;Germany
BCH;BRAUN CONTAINER HANDELS GMBH;HAMBURG;Germany
BCI;AL BAHA COMPANY FOR CAUSTIC-CHLORINE INDUSTRY;Zarqa;Jordan
BCL;BERMUDA CONTAINER LINE LTD;HAMILTON;Bermuda
BCN;BNS CONTAINER AS;OSLO;Norway
BCO;N.V. COBO CONSTRUCTION;PARAMARIBO;Suriname
BCT;TESTA TIZIANO;Piacenza;Italy
BCU;BALTIC COMMERCIAL UNION UAB;Vilnius;Lithuania
BDC;BD CONTAINERS BV;AMSTERDAM;Netherlands
BDS;BULK DISTRIBUTORS SDN BHD;KLANG;Malaysia
BEA;CAI INTERNATIONAL;SAN FRANCISCO, CA 94105;United States
BEB;BEIRUT BOX SARL;Beirut;Lebanon
BEG;BEC GMBH;Pfullingen;Germany
BEL;BELL-MAR SHIPPING LTD;HAIFA;Israel
BEM;BASF SE LUDWIGSHAFEN;Ludwigshafen am Rhein;Germany
